player_id,age,country,signup_date
1,54,USA,2023-06-26
2,44,India,2023-08-08
3,30,India,2022-09-19
4,58,UK,2022-03-30
5,23,Australia,2024-07-03
6,36,Australia,2022-07-27
7,54,UK,2022-08-01
8,34,UK,2024-04-13
9,38,UK,2022-09-23
10,26,Australia,2024-06-30
11,26,India,2022-10-20
12,39,UK,2022-07-26
13,51,USA,2022-11-29
14,55,UK,2022-03-18
15,39,Malaysia,2022-10-15
16,18,UK,2022-02-16
17,37,Australia,2023-09-14
18,17,UK,2022-07-19
19,39,Malaysia,2023-03-03
20,59,USA,2022-07-29
21,45,India,2024-06-06
22,53,UK,2023-02-24
23,17,Malaysia,2022-06-03
24,36,Malaysia,2023-06-06
25,48,USA,2023-02-19
26,27,Australia,2022-12-19
27,37,UK,2022-06-06
28,59,Malaysia,2022-09-18
29,40,USA,2022-03-18
30,42,India,2024-02-08
31,57,Malaysia,2024-09-09
32,43,USA,2023-05-03
33,31,Australia,2022-05-11
34,30,Australia,2023-08-02
35,59,Malaysia,2023-03-31
36,18,Malaysia,2024-01-10
37,52,UK,2022-06-12
38,22,USA,2022-01-15
39,36,Malaysia,2022-08-20
40,24,UK,2022-07-14
41,54,UK,2024-05-10
42,33,Malaysia,2023-06-26
43,19,Australia,2022-12-25
44,40,USA,2024-04-29
45,29,USA,2022-11-27
46,24,Australia,2023-03-03
47,41,Malaysia,2023-05-12
48,17,USA,2024-04-07
49,35,Malaysia,2023-05-01
50,43,Malaysia,2024-03-18
51,22,UK,2023-03-25
52,59,Australia,2023-02-17
53,23,Malaysia,2022-11-26
54,50,India,2024-01-02
55,29,Australia,2024-06-07
56,32,USA,2024-09-17
57,51,UK,2022-05-27
58,55,USA,2022-09-16
59,19,USA,2022-10-19
60,17,Australia,2024-03-21
61,21,USA,2022-05-23
62,57,Malaysia,2024-09-19
63,19,USA,2024-07-25
64,44,UK,2024-01-17
65,33,UK,2023-09-19
66,41,India,2022-12-31
67,59,UK,2022-03-31
68,49,USA,2023-12-21
69,25,UK,2022-06-13
70,51,Australia,2023-04-26
71,29,UK,2022-03-25
72,46,Malaysia,2022-03-18
73,30,Australia,2023-11-04
74,23,India,2023-06-01
75,29,Malaysia,2023-04-30
76,38,USA,2023-08-13
77,55,USA,2023-08-26
78,36,USA,2023-08-22
79,31,Malaysia,2024-02-21
80,33,Malaysia,2022-04-14
81,39,Malaysia,2023-03-28
82,41,Australia,2023-05-02
83,40,Australia,2022-12-05
84,56,USA,2023-11-18
85,44,UK,2023-07-20
86,30,USA,2024-06-18
87,16,India,2023-04-23
88,40,Australia,2023-12-24
89,22,Malaysia,2023-08-30
90,24,Australia,2022-08-11
91,39,Malaysia,2022-01-09
92,16,India,2022-02-22
93,59,India,2022-03-18
94,23,Australia,2023-12-19
95,39,Malaysia,2023-05-18
96,26,India,2022-11-12
97,32,USA,2024-03-24
98,23,USA,2024-04-01
99,50,Malaysia,2024-04-21
100,50,Australia,2023-09-16
101,48,India,2024-05-12
102,20,Australia,2022-06-14
103,57,USA,2022-10-06
104,54,India,2022-01-27
105,56,Australia,2022-03-11
106,43,UK,2022-08-06
107,22,Malaysia,2024-08-19
108,24,Malaysia,2022-12-31
109,23,UK,2023-12-02
110,27,USA,2024-04-24
111,49,India,2024-08-04
112,48,Malaysia,2022-11-02
113,38,UK,2022-05-04
114,39,UK,2022-01-19
115,52,USA,2022-09-14
116,50,USA,2022-10-23
117,59,Australia,2024-07-16
118,55,Malaysia,2022-01-22
119,37,Australia,2024-05-29
120,42,UK,2024-09-15
121,50,India,2023-03-26
122,16,India,2023-07-06
123,50,USA,2023-07-04
124,52,India,2022-02-17
125,29,India,2023-11-26
126,18,India,2023-08-10
127,16,UK,2023-12-22
128,20,India,2022-07-02
129,41,India,2023-03-11
130,29,India,2022-04-17
131,54,Australia,2022-07-07
132,42,UK,2024-02-15
133,24,USA,2022-03-27
134,30,Australia,2024-04-15
135,30,Malaysia,2024-04-22
136,41,UK,2023-04-01
137,57,UK,2022-05-17
138,28,Malaysia,2024-05-07
139,47,Malaysia,2024-06-16
140,54,Malaysia,2022-12-02
