session_id,player_id,game_id,play_time_minutes,score
1,3585,11,26,664
2,348,27,73,319
3,1264,4,73,603
4,4666,23,67,554
5,2743,23,79,781
6,2074,49,111,481
7,3149,34,23,247
8,1352,21,106,943
9,2822,22,130,67
10,3828,1,131,269
11,670,32,150,719
12,4814,28,118,910
13,2647,18,77,737
14,267,7,118,716
15,1439,38,149,656
16,2694,6,45,91
17,1023,14,165,947
18,2038,30,86,649
19,565,44,156,494
20,1060,46,81,528
21,1425,14,172,391
22,4124,44,32,513
23,220,41,114,439
24,406,9,171,761
25,1638,31,25,832
26,2319,2,169,438
27,1760,18,134,630
28,1675,5,10,196
29,792,26,56,354
30,3583,23,9,213
31,1310,12,179,106
32,3834,14,47,207
33,4930,13,100,628
34,4413,35,105,968
35,1331,47,118,931
36,4447,15,44,8
37,511,35,143,141
38,2573,19,146,841
39,3930,15,6,533
40,492,8,171,783
41,1618,23,67,680
42,2057,13,123,706
43,1521,23,150,411
44,1584,31,98,93
45,1576,30,83,924
46,3947,42,133,704
47,1762,2,149,923
48,1992,11,58,341
49,3180,25,126,287
50,3327,29,128,691
51,1047,22,171,266
52,2893,19,70,921
53,2614,9,147,926
54,3893,41,26,531
55,4145,38,24,851
56,462,29,97,224
57,4432,10,175,964
58,1382,22,156,168
59,1146,24,47,322
60,3516,8,25,555
61,4455,47,52,699
62,193,6,70,993
63,3535,7,119,94
64,756,20,20,361
65,1685,17,172,646
66,2526,36,25,605
67,828,8,105,565
68,890,13,12,958
69,4749,24,114,593
70,2456,46,90,463
71,2334,50,62,780
72,4947,31,9,800
73,111,23,174,646
74,4716,17,115,669
75,793,50,113,510
76,4684,46,34,266
77,2644,24,99,325
78,3415,43,13,788
79,1310,10,99,799
80,297,31,99,132
81,1630,45,45,361
82,569,20,55,348
83,4928,16,65,546
84,4706,14,10,762
85,4112,3,123,558
86,72,30,30,267
87,4366,18,10,804
88,4383,6,57,43
89,66,20,65,277
90,880,35,165,138
91,68,19,177,854
92,1217,26,98,310
93,3028,35,44,236
94,3240,12,28,265
95,3481,8,96,169
96,508,37,49,215
97,3715,49,42,116
98,2885,10,161,237
99,1126,21,112,255
100,886,49,140,755
101,2842,41,68,847
102,3878,45,91,843
103,4871,42,111,950
104,2526,29,55,433
105,926,31,10,415
106,4216,40,179,87
107,1939,7,89,963
108,3815,34,164,233
109,3363,34,40,608
110,4584,30,93,529
111,3233,4,103,110
112,3745,41,151,720
113,3466,30,41,852
114,441,25,21,576
115,3612,14,20,634
116,462,24,176,237
117,612,43,53,363
118,3472,31,98,408
119,3164,39,55,634
120,6,28,9,286
121,4777,25,101,979
122,3971,19,178,217
123,2859,4,77,402
124,2607,34,149,221
125,99,32,144,344
126,526,25,156,483
127,1181,22,60,112
128,1690,28,126,17
129,1139,18,130,451
130,4492,7,83,218
131,4866,11,20,160
132,3072,42,130,69
133,2928,11,91,6
134,2793,9,26,0
135,4779,35,114,869
136,15,37,176,98
137,2416,23,99,598
138,2686,33,47,591
139,2901,1,83,314
140,1237,20,25,33
141,4101,5,127,225
142,3221,29,12,478
143,1608,26,53,490
144,3564,38,129,222
145,3298,3,110,691
146,2634,21,138,906
147,3891,13,85,519
148,4265,31,108,242
149,2809,17,113,87
150,792,35,179,982
151,1000,23,168,479
152,152,3,129,308
153,3064,45,96,654
154,4600,2,125,539
155,2092,3,115,467
156,4600,20,27,141
157,4083,48,163,89
158,4027,44,114,697
159,2978,9,79,312
160,843,48,66,179
161,4447,4,100,548
162,3794,25,61,1
163,2071,50,106,929
164,1660,1,74,33
165,598,39,69,313
166,2514,12,41,225
167,4136,40,72,584
168,4271,40,79,956
169,3604,24,21,363
170,1217,9,139,884
171,2292,46,56,506
172,4932,20,167,949
173,3812,5,134,115
174,4994,20,172,113
175,932,21,41,962
176,2139,2,61,541
177,4003,21,105,594
178,2979,42,14,478
179,3893,24,85,719
180,4596,9,178,106
181,2919,39,94,314
182,2565,30,137,697
183,1764,18,137,887
184,2171,44,124,151
185,336,43,106,910
186,1177,10,31,661
187,3022,45,9,159
188,779,41,65,74
189,1186,48,140,348
190,3286,21,163,681
191,3448,22,101,186
